metric,date,value
Better than normal,2008-10-01,24.231884057971016
Normal,2008-10-01,33.10144927536232
Worse than normal,2008-10-01,31.420289855072465
What kinds of capital expenditures do you plan to make within the next 3 or 4 months?,2008-10-01,6.782608695652174
Canada - outlook on 12 months,2008-11-01,44.46819882415821
Number of responses,2008-11-01,-1.007250189809994
Accounts receivable,2008-11-01,5.024051309460182
Better than normal,2008-11-01,23.356493853554248
Normal,2008-11-01,32.175307322287544
Worse than normal,2008-11-01,31.854623196151792
What kinds of capital expenditures do you plan to make within the next 3 or 4 months?,2008-11-01,7.589524318546232
Canada - outlook on 12 months,2008-12-01,39.412568306010925
Number of responses,2008-12-01,-1.3724836663664086
Accounts receivable,2008-12-01,4.82695810564663
Better than normal,2008-12-01,19.48998178506375
Normal,2008-12-01,30.191256830601095
Worse than normal,2008-12-01,34.8816029143898
What kinds of capital expenditures do you plan to make within the next 3 or 4 months?,2008-12-01,10.610200364298725
Canada - outlook on 12 months,2009-01-01,39.412568306010925
Number of responses,2009-01-01,-0.4810929648241258
Accounts receivable,2009-01-01,4.82695810564663
Better than normal,2009-01-01,19.48998178506375
Normal,2009-01-01,30.191256830601095
Worse than normal,2009-01-01,34.8816029143898
What kinds of capital expenditures do you plan to make within the next 3 or 4 months?,2009-01-01,10.610200364298725
Canada - outlook on 12 months,2009-02-01,44.97942386831276
Canada - outlook on 3 months,2009-02-01,41.06073567151412
Number of responses,2009-02-01,-0.5199638209198665
Margin of error,2009-02-01,1215.0
Long-term index (12 months),2009-02-01,2.81149902169131
"Info., arts, recreation",2009-02-01,43.3920704845815
Health & education serv.,2009-02-01,42.465753424657535
Accounts receivable,2009-02-01,4.679802955665025
Better than normal,2009-02-01,23.973727422003282
Normal,2009-02-01,32.758620689655174
Worse than normal,2009-02-01,29.967159277504106
What kinds of capital expenditures do you plan to make within the next 3 or 4 months?,2009-02-01,8.620689655172415
"Land, buildings, renovations",2009-02-01,7.972972972972973
None of the above,2009-02-01,53.648648648648646
"Currently, what is the general business situation of your company?",2009-02-01,38.37837837837838
"In the next year, how much do you expect average prices to change?",2009-02-01,6.806282722513089
Price Reduction,2009-02-01,62.5130890052356
0% change,2009-02-01,30.680628272251308
0.015,2009-02-01,12.784588441331
0.02,2009-02-01,28.283712784588445
0.025,2009-02-01,14.798598949211907
0.03,2009-02-01,15.936952714535902
0.035,2009-02-01,51.0507880910683
0.055,2009-02-01,36.44140290846878
+6.0% or greater,2009-02-01,45.5945252352438
Avg price plans,2009-02-01,17.964071856287426
0% change,2009-02-01,12.567324955116696
0.005,2009-02-01,36.44524236983842
0.01,2009-02-01,3.321364452423698
0.015,2009-02-01,4.757630161579892
0.02,2009-02-01,1.526032315978456
0.025,2009-02-01,7.630161579892281
0.03,2009-02-01,3.4111310592459607
0.035,2009-02-01,5.745062836624776
0.04,2009-02-01,1.1669658886894074
0.045,2009-02-01,2.872531418312388
0.05,2009-02-01,0.17953321364452424
0.055,2009-02-01,9.33572710951526
+6.0% or greater,2009-02-01,0.26929982046678635
Avg wage plans,2009-02-01,10.771992818671453
"Fuel, energy",2009-02-01,1.376122082585278
Product inputs,2009-02-01,4.56989247311828
"Capital equipment, technology",2009-02-01,43.99641577060932
Occupancy,2009-02-01,2.956989247311828
Insurance,2009-02-01,6.272401433691756
"Taxes, regulations",2009-02-01,3.673835125448029
Fuel costs ,2009-02-01,12.903225806451612
Electricity costs,2009-02-01,4.301075268817205
Other energy costs,2009-02-01,8.333333333333332
What factors are limiting your ability to increase sales or production?,2009-02-01,1.4336917562724014
Insufficient domestic demand,2009-02-01,1.4336917562724014
Insufficient foreign demand,2009-02-01,0.08960573476702509
Shortage of skilled labour,2009-02-01,5.017921146953405
Shortage of un/semi-skilled labour,2009-02-01,0.0
Shortage of working capital,2009-02-01,5.017921146953405
Product distribution constraints,2009-02-01,1.2836021505376343
How are your expected full-time employment levels to change in the next 3 or 4 months?,2009-02-01,49.38704028021016
Up,2009-02-01,43.695271453590195
Same,2009-02-01,23.46760070052539
Down,2009-02-01,25.13134851138354
"Performance expectations next 3 or 4 months : Allowing for normal seasonal influences, what is your business performance and expectations? (select one answer for each)",2009-02-01,19.78984238178634
Up,2009-02-01,18.301225919439577
Same,2009-02-01,42.03152364273205
Down,2009-02-01,51.75131348511384
Much stronger,2009-02-01,45.884413309982484
Somewhat stronger,2009-02-01,13.222416812609458
About the same,2009-02-01,26.79509632224168
Somewhat weaker,2009-02-01,11.120840630472854
Much weaker,2009-02-01,23.204903677758317
Index value,2009-02-01,3.4150612959719786
International trade: Exporting (selling abroad + a mix of both) %SMEs,2009-02-01,7.355516637478108
How do you expect your firm to be performing in 12 months compared to now?,2009-02-01,12.084063047285463
Much weaker,2009-02-01,14.814814814814813
Index value,2009-02-01,66.31393298059965
International trade: Not active internationally (% SMEs),2009-02-01,18.871252204585538
About the same,2009-02-01,22.05128205128205
Somewhat weaker,2009-02-01,38.11965811965812
Much weaker,2009-02-01,39.82905982905983
Canada - outlook on 12 months,2009-03-01,43.0984555984556
Canada - outlook on 3 months,2009-03-01,40.2129817444219
Number of responses,2009-03-01,-0.8085765968340874
Margin of error,2009-03-01,1036.0
Long-term index (12 months),2009-03-01,3.04471185340588
"Info., arts, recreation",2009-03-01,43.69369369369369
Health & education serv.,2009-03-01,40.09433962264151
Accounts receivable,2009-03-01,4.054054054054054
Better than normal,2009-03-01,22.683397683397683
Normal,2009-03-01,32.722007722007724
Worse than normal,2009-03-01,31.177606177606176
What kinds of capital expenditures do you plan to make within the next 3 or 4 months?,2009-03-01,9.362934362934363
"Land, buildings, renovations",2009-03-01,8.424336973478939
None of the above,2009-03-01,51.638065522620906
"Currently, what is the general business situation of your company?",2009-03-01,39.93759750390016
"In the next year, how much do you expect average prices to change?",2009-03-01,6.572769953051643
Price Reduction,2009-03-01,58.568075117370896
0% change,2009-03-01,34.859154929577464
0.015,2009-03-01,10.31578947368421
0.02,2009-03-01,26.63157894736842
0.025,2009-03-01,13.157894736842104
0.03,2009-03-01,16.42105263157895
0.035,2009-03-01,53.1578947368421
0.055,2009-03-01,32.124874118831826
+6.0% or greater,2009-03-01,47.129909365558916
Avg price plans,2009-03-01,20.745216515609265
0% change,2009-03-01,13.31923890063425
0.005,2009-03-01,37.52642706131078
0.01,2009-03-01,2.6427061310782243
0.015,2009-03-01,4.968287526427061
0.02,2009-03-01,1.3742071881606766
0.025,2009-03-01,7.928118393234672
0.03,2009-03-01,2.00845665961945
0.035,2009-03-01,5.813953488372093
0.04,2009-03-01,1.7970401691331923
0.045,2009-03-01,3.382663847780127
0.05,2009-03-01,0.42283298097251587
0.055,2009-03-01,7.505285412262157
+6.0% or greater,2009-03-01,0.42283298097251587
Avg wage plans,2009-03-01,10.887949260042284
"Fuel, energy",2009-03-01,1.2875264270613107
Product inputs,2009-03-01,6.492146596858639
"Capital equipment, technology",2009-03-01,47.225130890052355
Occupancy,2009-03-01,3.769633507853403
Insurance,2009-03-01,6.0732984293193715
"Taxes, regulations",2009-03-01,3.2460732984293195
Fuel costs ,2009-03-01,10.890052356020941
Electricity costs,2009-03-01,4.712041884816754
Other energy costs,2009-03-01,5.445026178010471
What factors are limiting your ability to increase sales or production?,2009-03-01,0.8376963350785341
Insufficient domestic demand,2009-03-01,1.6753926701570683
Insufficient foreign demand,2009-03-01,0.31413612565445026
Shortage of skilled labour,2009-03-01,4.397905759162303
Shortage of un/semi-skilled labour,2009-03-01,0.31413612565445026
Shortage of working capital,2009-03-01,4.607329842931937
Product distribution constraints,2009-03-01,1.0188481675392669
How are your expected full-time employment levels to change in the next 3 or 4 months?,2009-03-01,49.1578947368421
Up,2009-03-01,44.21052631578947
Same,2009-03-01,24.31578947368421
Down,2009-03-01,24.31578947368421
"Performance expectations next 3 or 4 months : Allowing for normal seasonal influences, what is your business performance and expectations? (select one answer for each)",2009-03-01,19.789473684210527
Up,2009-03-01,22.526315789473685
Same,2009-03-01,45.578947368421055
Down,2009-03-01,51.1578947368421
Much stronger,2009-03-01,51.89473684210526
Somewhat stronger,2009-03-01,14.526315789473685
About the same,2009-03-01,24.31578947368421
Somewhat weaker,2009-03-01,8.842105263157894
Much weaker,2009-03-01,24.526315789473685
Index value,2009-03-01,3.7894736842105265
International trade: Exporting (selling abroad + a mix of both) %SMEs,2009-03-01,6.7368421052631575
How do you expect your firm to be performing in 12 months compared to now?,2009-03-01,14.526315789473685
Much weaker,2009-03-01,12.345679012345679
Index value,2009-03-01,70.54673721340387
International trade: Not active internationally (% SMEs),2009-03-01,17.10758377425044
About the same,2009-03-01,22.210953346855984
Somewhat weaker,2009-03-01,36.004056795131845
Much weaker,2009-03-01,41.784989858012175
Canada - outlook on 12 months,2009-04-01,54.980276134122285
Canada - outlook on 3 months,2009-04-01,50.051759834368525
Number of responses,2009-04-01,-0.322766555858256
Margin of error,2009-04-01,1014.0
Long-term index (12 months),2009-04-01,3.0775640358045053
Construction,2009-04-01,43.959731543624166
Wholesale,2009-04-01,47.721518987341774
Retail,2009-04-01,44.28857715430862
Transportation,2009-04-01,45.340501792114694
"Info., arts, recreation",2009-04-01,55.633802816901415
"Finance, insur. realty",2009-04-01,41.05263157894737
"Prof., business services",2009-04-01,55.769230769230774
Health & education serv.,2009-04-01,53.529411764705884
Hospitality,2009-04-01,50.38022813688213
Personal services,2009-04-01,61.11111111111111
Newfoundland & Lab.,2009-04-01,49.38650306748466
Prince Edward Is.,2009-04-01,46.721311475409834
Manitoba,2009-04-01,56.287425149700596
Saskatchewan,2009-04-01,62.5
Alberta,2009-04-01,45.32374100719424
British Columbia,2009-04-01,45.40520984081042
Short-term index,2009-04-01,54.21686746987952
Agriculture,2009-04-01,58.90410958904109
Natural resources*,2009-04-01,43.17269076305221
Construction,2009-04-01,48.2620320855615
Retail,2009-04-01,43.19727891156463
"Info., arts, recreation",2009-04-01,40.90909090909091
"Finance, insur. realty",2009-04-01,39.83228511530398
"Prof., business services",2009-04-01,40.70631970260224
Health & education serv.,2009-04-01,53.15533980582524
Hospitality,2009-04-01,40.42553191489362
Personal and other services,2009-04-01,46.62162162162162
Newfoundland & Lab.,2009-04-01,48.73417721518988
Prince Edward Is.,2009-04-01,48.40637450199203
Nova Scotia,2009-04-01,56.98924731182796
New Brunswick,2009-04-01,44.480519480519476
Quebec,2009-04-01,46.2882096069869
Alberta,2009-04-01,50.65359477124183
British Columbia,2009-04-01,60.317460317460316
Survey results (% response),2009-04-01,48.47908745247149
How do you expect your firm to be performing in 12 months compared to now?,2009-04-01,40.0
Much stronger,2009-04-01,60.20408163265306
Somewhat stronger,2009-04-01,58.098591549295776
About the same,2009-04-01,37.603305785123965
Somewhat weaker,2009-04-01,43.49030470914127
Accounts receivable,2009-04-01,6.903353057199211
Better than normal,2009-04-01,31.558185404339252
Normal,2009-04-01,33.03747534516765
Worse than normal,2009-04-01,21.499013806706113
What kinds of capital expenditures do you plan to make within the next 3 or 4 months?,2009-04-01,7.001972386587771
"Land, buildings, renovations",2009-04-01,7.578253706754531
None of the above,2009-04-01,54.69522240527183
"Currently, what is the general business situation of your company?",2009-04-01,37.72652388797364
"In the next year, how much do you expect average prices to change?",2009-04-01,6.234413965087282
Price Reduction,2009-04-01,59.85037406483791
0% change,2009-04-01,33.915211970074814
0.015,2009-04-01,12.594187298170075
0.02,2009-04-01,25.18837459634015
0.025,2009-04-01,14.531754574811625
0.03,2009-04-01,16.254036598493002
0.035,2009-04-01,52.20667384284177
0.055,2009-04-01,33.43558282208589
+6.0% or greater,2009-04-01,46.830265848670756
Avg price plans,2009-04-01,19.734151329243353
0% change,2009-04-01,13.034188034188036
0.005,2009-04-01,35.47008547008547
0.01,2009-04-01,3.418803418803419
0.015,2009-04-01,4.166666666666666
0.02,2009-04-01,2.3504273504273505
0.025,2009-04-01,9.081196581196581
0.03,2009-04-01,2.4572649572649574
0.035,2009-04-01,6.089743589743589
0.04,2009-04-01,1.4957264957264957
0.045,2009-04-01,2.2435897435897436
0.05,2009-04-01,0.5341880341880342
0.055,2009-04-01,9.615384615384617
+6.0% or greater,2009-04-01,0.2136752136752137
Avg wage plans,2009-04-01,9.82905982905983
"Fuel, energy",2009-04-01,1.313034188034188
Product inputs,2009-04-01,6.609808102345416
"Capital equipment, technology",2009-04-01,42.53731343283582
Occupancy,2009-04-01,4.264392324093817
Insurance,2009-04-01,5.11727078891258
"Taxes, regulations",2009-04-01,3.8379530916844353
Fuel costs ,2009-04-01,12.57995735607676
Electricity costs,2009-04-01,4.371002132196162
Other energy costs,2009-04-01,5.6503198294243075
What factors are limiting your ability to increase sales or production?,2009-04-01,1.1727078891257996
Insufficient domestic demand,2009-04-01,2.55863539445629
Insufficient foreign demand,2009-04-01,0.10660980810234541
Shortage of skilled labour,2009-04-01,5.330490405117271
Shortage of un/semi-skilled labour,2009-04-01,0.31982942430703626
Shortage of working capital,2009-04-01,5.543710021321962
Product distribution constraints,2009-04-01,1.2057569296375268
How are your expected full-time employment levels to change in the next 3 or 4 months?,2009-04-01,51.022604951560815
Up,2009-04-01,41.980624327233585
Same,2009-04-01,25.29601722282024
Down,2009-04-01,23.466092572658773
"Performance expectations next 3 or 4 months : Allowing for normal seasonal influences, what is your business performance and expectations? (select one answer for each)",2009-04-01,18.729817007534987
Up,2009-04-01,16.89989235737352
Same,2009-04-01,42.518837459634014
Down,2009-04-01,54.467168998923576
Much stronger,2009-04-01,50.16146393972013
Somewhat stronger,2009-04-01,13.347685683530678
About the same,2009-04-01,22.712594187298173
Somewhat weaker,2009-04-01,9.257265877287406
Much weaker,2009-04-01,27.233584499461788
Index value,2009-04-01,3.659849300322928
International trade: Exporting (selling abroad + a mix of both) %SMEs,2009-04-01,6.350914962325081
How do you expect your firm to be performing in 12 months compared to now?,2009-04-01,14.531754574811625
Much weaker,2009-04-01,19.222903885480573
Index value,2009-04-01,66.66666666666666
International trade: Not active internationally (% SMEs),2009-04-01,14.11042944785276
About the same,2009-04-01,32.50517598343685
Somewhat weaker,2009-04-01,35.09316770186335
Much weaker,2009-04-01,32.40165631469979
Canada - outlook on 12 months,2009-05-01,60.3448275862069
Canada - outlook on 3 months,2009-05-01,53.296019900497505
Number of responses,2009-05-01,-0.104022747676491
Margin of error,2009-05-01,841.0
Long-term index (12 months),2009-05-01,3.379310344827586
Construction,2009-05-01,46.0
Wholesale,2009-05-01,54.08163265306123
Retail,2009-05-01,48.871331828442436
Transportation,2009-05-01,51.04602510460251
"Info., arts, recreation",2009-05-01,62.57142857142858
"Finance, insur. realty",2009-05-01,48.8235294117647
"Prof., business services",2009-05-01,54.41176470588236
Health & education serv.,2009-05-01,56.95364238410596
Hospitality,2009-05-01,53.828828828828826
Personal services,2009-05-01,64.94845360824742
Newfoundland & Lab.,2009-05-01,52.054794520547944
Prince Edward Is.,2009-05-01,50.70754716981132
Manitoba,2009-05-01,59.375
Saskatchewan,2009-05-01,66.66666666666667
Alberta,2009-05-01,51.875
British Columbia,2009-05-01,50.646725949878736
Short-term index,2009-05-01,59.05511811023622
Agriculture,2009-05-01,63.059701492537314
Natural resources*,2009-05-01,52.981651376146786
Construction,2009-05-01,53.6231884057971
Retail,2009-05-01,47.15447154471545
"Info., arts, recreation",2009-05-01,48.60248447204969
"Finance, insur. realty",2009-05-01,43.026004728132385
"Prof., business services",2009-05-01,43.83259911894273
Health & education serv.,2009-05-01,56.25
Hospitality,2009-05-01,46.34146341463414
Personal and other services,2009-05-01,50.75757575757576
Newfoundland & Lab.,2009-05-01,52.758620689655174
Prince Edward Is.,2009-05-01,49.03381642512077
Nova Scotia,2009-05-01,57.30337078651686
New Brunswick,2009-05-01,51.07142857142857
Quebec,2009-05-01,47.98994974874372
Alberta,2009-05-01,55.51724137931035
British Columbia,2009-05-01,67.43119266055047
Survey results (% response),2009-05-01,55.75221238938053
How do you expect your firm to be performing in 12 months compared to now?,2009-05-01,43.8663282571912
Much stronger,2009-05-01,58.474576271186436
Somewhat stronger,2009-05-01,60.46511627906976
About the same,2009-05-01,38.967136150234744
Somewhat weaker,2009-05-01,49.10179640718563
Accounts receivable,2009-05-01,8.085612366230677
Better than normal,2009-05-01,35.43400713436385
Normal,2009-05-01,33.650416171224734
Worse than normal,2009-05-01,17.717003567181926
What kinds of capital expenditures do you plan to make within the next 3 or 4 months?,2009-05-01,5.112960760998811
"Land, buildings, renovations",2009-05-01,11.978221415607985
None of the above,2009-05-01,52.813067150635206
"Currently, what is the general business situation of your company?",2009-05-01,35.208711433756804
"In the next year, how much do you expect average prices to change?",2009-05-01,7.204610951008646
Price Reduction,2009-05-01,58.069164265129686
0% change,2009-05-01,34.726224783861674
0.015,2009-05-01,13.748378728923477
0.02,2009-05-01,30.090791180285343
0.025,2009-05-01,16.08300907911803
0.03,2009-05-01,18.28793774319066
0.035,2009-05-01,49.286640726329445
0.055,2009-05-01,37.84119106699752
+6.0% or greater,2009-05-01,44.168734491315135
Avg price plans,2009-05-01,17.990074441687344
0% change,2009-05-01,12.45186136071887
0.005,2009-05-01,34.91655969191271
0.01,2009-05-01,3.7227214377406934
0.015,2009-05-01,4.2362002567394095
0.02,2009-05-01,3.080872913992298
0.025,2009-05-01,8.34403080872914
0.03,2009-05-01,2.952503209242619
0.035,2009-05-01,5.905006418485238
0.04,2009-05-01,1.0269576379974326
0.045,2009-05-01,2.6957637997432604
0.05,2009-05-01,1.0269576379974326
0.055,2009-05-01,9.114249037227214
+6.0% or greater,2009-05-01,0.38510911424903727
Avg wage plans,2009-05-01,10.141206675224646
"Fuel, energy",2009-05-01,1.3806161745827985
Product inputs,2009-05-01,5.526992287917738
"Capital equipment, technology",2009-05-01,37.660668380462724
Occupancy,2009-05-01,5.912596401028278
Insurance,2009-05-01,5.784061696658098
"Taxes, regulations",2009-05-01,4.113110539845758
Fuel costs ,2009-05-01,13.110539845758353
Electricity costs,2009-05-01,5.526992287917738
Other energy costs,2009-05-01,8.226221079691516
What factors are limiting your ability to increase sales or production?,2009-05-01,1.2853470437017995
Insufficient domestic demand,2009-05-01,2.185089974293059
Insufficient foreign demand,2009-05-01,0.3856041131105398
Shortage of skilled labour,2009-05-01,5.012853470437018
Shortage of un/semi-skilled labour,2009-05-01,0.2570694087403599
Shortage of working capital,2009-05-01,5.012853470437018
Product distribution constraints,2009-05-01,1.33547557840617
How are your expected full-time employment levels to change in the next 3 or 4 months?,2009-05-01,47.98962386511025
Up,2009-05-01,45.26588845654994
Same,2009-05-01,22.827496757457848
Down,2009-05-01,21.27107652399481
"Performance expectations next 3 or 4 months : Allowing for normal seasonal influences, what is your business performance and expectations? (select one answer for each)",2009-05-01,18.67704280155642
Up,2009-05-01,20.492866407263293
Same,2009-05-01,43.45006485084306
Down,2009-05-01,51.36186770428015
Much stronger,2009-05-01,45.13618677042802
Somewhat stronger,2009-05-01,11.932555123216602
About the same,2009-05-01,24.5136186770428
Somewhat weaker,2009-05-01,9.857328145265889
Much weaker,2009-05-01,26.718547341115436
Index value,2009-05-01,4.539559014267185
International trade: Exporting (selling abroad + a mix of both) %SMEs,2009-05-01,6.744487678339818
How do you expect your firm to be performing in 12 months compared to now?,2009-05-01,17.898832684824903
Much weaker,2009-05-01,17.83625730994152
Index value,2009-05-01,66.08187134502924
International trade: Not active internationally (% SMEs),2009-05-01,16.08187134502924
About the same,2009-05-01,33.95522388059701
Somewhat weaker,2009-05-01,38.681592039801
Much weaker,2009-05-01,27.363184079601986
Canada - outlook on 12 months,2009-06-01,58.42105263157894
Canada - outlook on 3 months,2009-06-01,51.14628820960698
Number of responses,2009-06-01,0.11954837565812948
Margin of error,2009-06-01,950.0
Long-term index (12 months),2009-06-01,3.179539854162946
Construction,2009-06-01,47.474747474747474
Wholesale,2009-06-01,57.70392749244713
Retail,2009-06-01,53.97727272727273
Transportation,2009-06-01,57.65765765765766
"Info., arts, recreation",2009-06-01,62.565445026178004
"Finance, insur. realty",2009-06-01,49.411764705882355
"Prof., business services",2009-06-01,64.0625
Health & education serv.,2009-06-01,61.53846153846154
Hospitality,2009-06-01,60.54852320675106
Personal services,2009-06-01,66.48936170212767
Newfoundland & Lab.,2009-06-01,58.82352941176471
Prince Edward Is.,2009-06-01,54.009433962264154
Manitoba,2009-06-01,60.76388888888889
Saskatchewan,2009-06-01,66.36363636363637
Alberta,2009-06-01,49.60629921259843
British Columbia,2009-06-01,56.37450199203187
Short-term index,2009-06-01,59.565217391304344
Agriculture,2009-06-01,68.85245901639344
Natural resources*,2009-06-01,61.22448979591836
Construction,2009-06-01,62.24188790560472
Retail,2009-06-01,50.0
"Info., arts, recreation",2009-06-01,49.519230769230774
"Finance, insur. realty",2009-06-01,45.87264150943396
"Prof., business services",2009-06-01,49.29245283018868
Health & education serv.,2009-06-01,56.38297872340425
Hospitality,2009-06-01,44.44444444444444
Personal and other services,2009-06-01,55.64516129032258
Newfoundland & Lab.,2009-06-01,56.934306569343065
Prince Edward Is.,2009-06-01,53.139013452914796
Nova Scotia,2009-06-01,58.92857142857143
New Brunswick,2009-06-01,55.078125
Quebec,2009-06-01,50.24390243902439
Alberta,2009-06-01,58.64661654135338
British Columbia,2009-06-01,68.62745098039215
Survey results (% response),2009-06-01,52.88065843621399
How do you expect your firm to be performing in 12 months compared to now?,2009-06-01,47.256857855361595
Much stronger,2009-06-01,60.74766355140187
Somewhat stronger,2009-06-01,65.67796610169492
About the same,2009-06-01,45.59585492227979
Somewhat weaker,2009-06-01,54.559270516717326
Accounts receivable,2009-06-01,6.94006309148265
Better than normal,2009-06-01,33.85909568874869
Normal,2009-06-01,35.33123028391167
Worse than normal,2009-06-01,18.61198738170347
What kinds of capital expenditures do you plan to make within the next 3 or 4 months?,2009-06-01,5.257623554153523
"Land, buildings, renovations",2009-06-01,10.586319218241043
None of the above,2009-06-01,51.954397394136805
"Currently, what is the general business situation of your company?",2009-06-01,37.45928338762215
"In the next year, how much do you expect average prices to change?",2009-06-01,7.496823379923761
Price Reduction,2009-06-01,59.84752223634053
0% change,2009-06-01,32.65565438373571
0.015,2009-06-01,13.163972286374134
0.02,2009-06-01,29.561200923787528
0.025,2009-06-01,13.625866050808314
0.03,2009-06-01,16.97459584295612
0.035,2009-06-01,51.27020785219399
0.055,2009-06-01,37.06140350877193
+6.0% or greater,2009-06-01,42.32456140350877
Avg price plans,2009-06-01,20.614035087719298
0% change,2009-06-01,12.44343891402715
0.005,2009-06-01,38.574660633484164
0.01,2009-06-01,3.0542986425339365
0.015,2009-06-01,5.429864253393665
0.02,2009-06-01,2.3755656108597285
0.025,2009-06-01,9.615384615384617
0.03,2009-06-01,2.6018099547511313
0.035,2009-06-01,5.88235294117647
0.04,2009-06-01,1.244343891402715
0.045,2009-06-01,3.0542986425339365
0.05,2009-06-01,0.11312217194570137
0.055,2009-06-01,9.615384615384617
+6.0% or greater,2009-06-01,0.22624434389140274
Avg wage plans,2009-06-01,5.769230769230769
"Fuel, energy",2009-06-01,1.042420814479638
Product inputs,2009-06-01,6.115515288788222
"Capital equipment, technology",2009-06-01,39.637599093997736
Occupancy,2009-06-01,5.322763306908267
Insurance,2009-06-01,5.549263873159683
"Taxes, regulations",2009-06-01,4.530011325028313
Fuel costs ,2009-06-01,13.929784824462061
Electricity costs,2009-06-01,4.756511891279728
Other energy costs,2009-06-01,7.361268403171008
What factors are limiting your ability to increase sales or production?,2009-06-01,1.1325028312570782
Insufficient domestic demand,2009-06-01,1.8120045300113252
Insufficient foreign demand,2009-06-01,0.33975084937712347
Shortage of skilled labour,2009-06-01,5.549263873159683
Shortage of un/semi-skilled labour,2009-06-01,0.6795016987542469
Shortage of working capital,2009-06-01,3.2842582106455263
Product distribution constraints,2009-06-01,1.1676104190260475
How are your expected full-time employment levels to change in the next 3 or 4 months?,2009-06-01,55.19630484988453
Up,2009-06-01,43.99538106235566
Same,2009-06-01,21.362586605080832
Down,2009-06-01,22.632794457274827
"Performance expectations next 3 or 4 months : Allowing for normal seasonal influences, what is your business performance and expectations? (select one answer for each)",2009-06-01,20.438799076212472
Up,2009-06-01,23.787528868360276
Same,2009-06-01,43.418013856812934
Down,2009-06-01,54.15704387990762
Much stronger,2009-06-01,47.45958429561201
Somewhat stronger,2009-06-01,15.242494226327944
About the same,2009-06-01,24.59584295612009
Somewhat weaker,2009-06-01,9.699769053117784
Much weaker,2009-06-01,22.632794457274827
Index value,2009-06-01,4.272517321016166
International trade: Exporting (selling abroad + a mix of both) %SMEs,2009-06-01,7.505773672055427
How do you expect your firm to be performing in 12 months compared to now?,2009-06-01,14.89607390300231
